region,group,question,response
Andina,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,No hay participacion comunitaria personalmente hablando
Orinoquia,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas
Pacifico,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,No hay empleo local (segun mi experiencia)
Amazonas,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,No hay empleo local en mi comunidad
Orinoquia,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,Viviendas en mal estado
Caribe,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas (segun mi experiencia)
Caribe,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable personalmente hablando
Orinoquia,Pueblos Indigenas,Que propuestas ha escuchado dentro de la comunidad?,Viviendas en mal estado personalmente hablando
Pacifico,Mujeres,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria
Orinoquia,Mujeres,Que necesidades prioritarias existen en su comunidad?,Nos sentimos abandonados en mi comunidad
Andina,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales en mi comunidad
Pacifico,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Falta de confianza en las instituciones
Orinoquia,Jovenes,Que necesidades prioritarias existen en su comunidad?,Nos sentimos abandonados
Pacifico,Mujeres,Como evalua la atencion en salud mental en su zona?,Los jovenes migran por falta de oportunidades
Amazonas,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,Viviendas en mal estado en mi comunidad
Caribe,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,La salud mental es ignorada
Andina,Afrocolombianos,Como evalua la atencion en salud mental en su zona?,No hay empleo local (segun mi experiencia)
Caribe,Pueblos Indigenas,Que problemas enfrenta con el acceso a servicios publicos?,No hay atencion medica cerca en mi comunidad
Andina,Afrocolombianos,Que necesidades prioritarias existen en su comunidad?,Falta de acceso al agua potable en mi comunidad
Caribe,Mujeres,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria
Andina,Personas Mayores,Como evalua la atencion en salud mental en su zona?,La salud mental es ignorada (segun mi experiencia)
Caribe,Personas Mayores,Como evalua la atencion en salud mental en su zona?,Cortes de luz frecuentes
Pacifico,Mujeres,Como evalua la atencion en salud mental en su zona?,No hay atencion medica cerca personalmente hablando
Andina,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas personalmente hablando
Andina,Personas Mayores,Que propuestas ha escuchado dentro de la comunidad?,No hay apoyo a emprendimientos (segun mi experiencia)
Orinoquia,Afrocolombianos,Que propuestas ha escuchado dentro de la comunidad?,Hay demoras en las citas (segun mi experiencia)
Andina,Mujeres,Que propuestas ha escuchado dentro de la comunidad?,Cortes de luz frecuentes
Pacifico,Afrocolombianos,Que problemas enfrenta con el acceso a servicios publicos?,Los jovenes migran por falta de oportunidades
Orinoquia,Jovenes,Como evalua la atencion en salud mental en su zona?,La salud mental es ignorada
Amazonas,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Cortes de luz frecuentes
Andina,Personas Mayores,Que problemas enfrenta con el acceso a servicios publicos?,Hay demoras en las citas (segun mi experiencia)
Caribe,Mujeres,Que problemas enfrenta con el acceso a servicios publicos?,Nos sentimos abandonados (segun mi experiencia)
Andina,Pueblos Indigenas,Que necesidades prioritarias existen en su comunidad?,No hay participacion comunitaria (segun mi experiencia)
Orinoquia,Jovenes,Que propuestas ha escuchado dentro de la comunidad?,Faltan medicamentos esenciales
